연번,행정구역,안심 주소,위도,경도,CCTV 수량
61,서울특별시 관악구,A2019 1-1RZ 선우공원#01(미성동 산 117-3),37.4688,126.913,1
62,서울특별시 관악구,A2020 1-1RZ 선우공원#02(미성동 산 117-3),37.4666,126.9141,1
63,서울특별시 관악구,A2021 1-1RZ 신림6배수지공원#01(삼성동 336-8),37.4682,126.9265,1
64,서울특별시 관악구,A2022 1-1RZ 신림6배수지공원#02(삼성동 336-8),37.4683,126.9259,1
65,서울특별시 관악구,A2023 1-1RZ 봉천11배수지공원(인헌동 산3-8),37.4691,126.97,1
66,서울특별시 관악구,A2024 1-1RZ 배수지공원(삼성동 1713-6),37.4633,126.9272,1
67,서울특별시 관악구,A2025 1-1RZ 상도근린공원#01(보라매동 산104-9),37.4889,126.9381,1
68,서울특별시 관악구,A2026 1-1RZ 상도근린공원#02(보라매동 산104-9),37.4894,126.938,1
69,서울특별시 관악구,A2027 1-1RZ 상도근린공원#03(보라매동 산104-9),37.4893,126.9383,1
70,서울특별시 관악구,A2028 1-1R 중앙공원#01(중앙동 890-1),37.4844,126.9485,1
71,서울특별시 관악구,A2029 1-1R 중앙공원#02(중앙동 890-1),37.4843,126.9482,1
72,서울특별시 관악구,A2030 1-1S 관악산공원 주차장1,37.4683,126.9456,1
73,서울특별시 관악구,A2032 1-1RZ 관악산공원 피크닉숲,37.4618,126.9482,1
74,서울특별시 관악구,A2033 1-1RZ 관악산공원 야외식물원,37.4609,126.9482,1
75,서울특별시 관악구,A2034 1-2RZ 관악산공원 제1야영장,37.458,126.9464,1
76,서울특별시 관악구,A2034 2-2SZ 관악산공원 제1야영장,37.4574,126.9463,1
77,서울특별시 관악구,A2035 1-1RZ 관악산공원 제2야영장,37.4556,126.9454,1
78,서울특별시 관악구,"A2036 1-1RZ 장군봉근린공원1(메인,청룡동 산151-139)",37.4797,126.9372,1
79,서울특별시 관악구,"A2037 1-1RZ 장군봉근린공원2(서브,청룡동 산151-139)",37.4798,126.9364,1
80,서울특별시 관악구,"A2038 1-1RZ 장군봉근린공원3(서브,청룡동 산151-139)",37.4805,126.9369,1
81,서울특별시 관악구,A2039 1-1RZ 양산어린이공원(삼성동 395-35),37.4737,126.9327,1
82,서울특별시 관악구,A2040 1-1R 군아파트어린이공원(남현동 602-282),37.4718,126.9791,1
83,서울특별시 관악구,A2041 1-1RZ 한뼘동래공원(은천동 900-65),37.4847,126.9449,1
84,서울특별시 관악구,A2042 1-1RZ 상도근린공원(보라매동 산133-10),37.4927,126.9351,1
85,서울특별시 관악구,A3001 1-1RZ 남강창의어린이공원(난곡동 1678-9),37.4734,126.924,1
