관리번호,위도,경도
보라매04-14,37.485311,126.902291
보라매04-15,37.485394,126.901897
보라매04-16,37.485478,126.901587
보라매04-17,37.48559,126.901271
보라매04-18,37.485701,126.900978
보라매04-19,37.485828,126.900697
보라매04-20,37.485708,126.900605
보라매04-21,37.485581,126.900894
보라매04-22,37.485461,126.901197
보라매04-23,37.485359,126.901524
보라매04-24,37.485268,126.901857
보라매04-25,37.485186,126.902264
보라매04-26,37.485125,126.902683
보라매04-27,37.485092,126.90308
보라매04-28,37.485063,126.90351
보라매04-29,37.485042,126.903885
보라매04-30,37.485022,126.904261
보라매04-31,37.485007,126.904595
보라매04-32,37.484978,126.905034
보라매04-33,37.48498,126.905405
