name,lat,lng,address,score
세븐일레븐 서울대3식당점,37.45637703764059,126.94857186553064,서울 관악구 관악로 1,5
GS25 서울대중앙도서관점,37.45905192443054,126.95234742677494,서울 관악구 관악로 1,5
CU 서울대중앙도서관점,37.459277049414546,126.95203080480265,서울 관악구 관악로 1,5
세븐일레븐 서울대학생회관점,37.4591376771211,126.950535532768,서울 관악구 관악로 1,5
GS25 뉴독산캐슬점,37.46060133082072,126.8957499451541,서울 금천구 벚꽃로 40,5
GS25 금천은하수점,37.4612160597596,126.899140025877,서울 금천구 시흥대로90길 16,5
세븐일레븐 금천마루점,37.4634704043994,126.897066205125,서울 금천구 시흥대로 335,5
세븐일레븐 금천호정점,37.4611773383241,126.900227436896,서울 금천구 시흥대로88길 21,5
GS25 금천무지개점,37.4622483759032,126.900983332852,서울 금천구 시흥대로84마길 21,5
GS25 금천스타즈점,37.4609468843509,126.896279579558,서울 금천구 시흥대로 315,5
CU 롯데캐슬4차점,37.46118222948248,126.89648610137645,서울 금천구 시흥대로 315,5
GS25 금천해가든점,37.46060829663936,126.89246301667576,서울 금천구 벚꽃로6길 3,5
CU 금천블르빌점,37.4636745433914,126.899756154465,서울 금천구 시흥대로98길 30,5
CU 금천히어로점,37.4606213504999,126.903404325559,서울 금천구 독산로43가길 14,5
CU 금천한울점,37.4625758171828,126.904726560318,서울 금천구 독산로50길 10,5
GS25 금천한빛점,37.460948519444,126.906898815261,서울 금천구 독산로40길 45,5
CU 독산동길점,37.4631545923311,126.902912759585,서울 금천구 독산로51길 20,5
GS25 금천능선점,37.461598822139,126.904357055881,서울 금천구 독산로 159,5
GS25 독산초교점,37.4642771818802,126.900659635877,서울 금천구 시흥대로104길 54,5
CU 시흥믿음점,37.4614541217645,126.908222917641,서울 금천구 독산로40길 71,5
CU 시흥4동점,37.4623599066693,126.909740972329,서울 금천구 독산로50길 98,5
GS25 금천삼익점,37.46204318117874,126.91030651501364,서울 금천구 독산로50다길 2,5
GS25 금천대성점,37.4608992635032,126.910791652655,서울 금천구 독산로50다길 33,5
GS25 난향타운점,37.4624653845437,126.915929404049,서울 관악구 난향7길 2,5
GS25 신림정문점,37.4628740313656,126.917905905059,서울 관악구 난향길 18,5
이마트24 관악난향점,37.46088738795763,126.9193413057729,서울 관악구 난곡로 60,5
세븐일레븐 관악삼성점,37.461131378004865,126.92594205592638,서울 관악구 호암로 401,5
GS25 삼성산주공점,37.4631356021598,126.926541420347,서울 관악구 호암로 399,5
CU 서울대학교신양점,37.4628599914251,126.951097118668,서울 관악구 관악로 1,5
GS25 서울대관악사점,37.46145529708961,126.95808790371656,서울 관악구 관악로 1,5
세븐일레븐 서울대220동점,37.464405559899,126.954177472764,서울 관악구 관악로 1,5
세븐일레븐 서울대기숙사점,37.4634583875703,126.958488058298,서울 관악구 관악로 1,5
GS25 뉴시흥대로점,37.464699504266235,126.89720468522606,서울 금천구 시흥대로 349,5
CU 독산우시장점,37.466323650693,126.895746521419,서울 금천구 범안로 1206,5
GS25 금천행복점,37.4658306205733,126.89865002406,서울 금천구 시흥대로102길 54,5
CU 독산소비자점,37.4644846317092,126.89879200568,서울 금천구 시흥대로104길 20,5
CU 독산2동점,37.4663470410734,126.90202240667,서울 금천구 독산로 218,5
CU 금천수아주점,37.467906843189,126.896906386538,서울 금천구 시흥대로115길 13,5
CU 금천도당점,37.46511340276161,126.8955311708849,서울 금천구 범안로16길 33,5
GS25 독산우시장점,37.4666476745042,126.895361737807,서울 금천구 범안로 1201,5
세븐일레븐 독산정훈점,37.4655325017763,126.901991819099,서울 금천구 독산로 211,5
세븐일레븐 금천부창점,37.46660717952699,126.89957363686611,서울 금천구 범안로 1239,5
이마트24 금천점,37.465544743778004,126.89324268862812,서울 금천구 범안로12가길 27,5
세븐일레븐 독산점,37.4680887640909,126.898895666863,서울 금천구 시흥대로116길 2,5
세븐일레븐 독산더타워점,37.4661034213984,126.896335757787,서울 금천구 범안로 1212,5
CU 독산정훈점,37.4648704718277,126.903344601557,서울 금천구 독산로64길 10,5
GS25 독산하이점,37.4678158074564,126.900012880297,서울 금천구 독산로73길 33,5
세븐일레븐 금천보길점,37.46774016798578,126.90113773862106,서울 금천구 독산로73길 13,5
CU 금천파크점,37.4650388434311,126.906559154235,서울 금천구 독산로58나길 48,5
GS25 정훈사랑점,37.4665448517469,126.905951389947,서울 금천구 독산로64길 70,5
CU 독산AK점,37.4683385431345,126.904551945406,서울 금천구 독산로72길 50,5
이마트24 R관악신세계점,37.4645006297445,126.919613232436,서울 관악구 난곡로 100,5
세븐일레븐 관악난우점,37.467128731512695,126.92072838466734,서울 관악구 난곡로16길 3,5
GS25 신림주공점,37.466498846057604,126.92911316078431,서울 관악구 광신길 210,5
GS25 관악미림점,37.4654313151907,126.93247590425,서울 관악구 호암로18가길 1,5
GS25 신림미림점,37.4655605928823,126.931661916504,서울 관악구 호암로 538,5
CU 관악광신점,37.4670734370966,126.930200062878,서울 관악구 원신길 134,5
CU 관악미림점,37.46778637301805,126.93215274947754,서울 관악구 호암로20길 1,5
세븐일레븐 신림합격점,37.4649514118581,126.934676031767,서울 관악구 대학14길 82,5
CU 관악으뜸점,37.4674651052715,126.934445502651,서울 관악구 호암로20길 43,5
CU 관악고시촌점,37.4663238684611,126.936729884046,서울 관악구 대학14길 15,5
CU 신림중앙점,37.467574311048,126.936430402675,서울 관악구 대학10길 21,5
GS25 관악장원점,37.4669982311184,126.937493465272,서울 관악구 대학길 84,5
세븐일레븐 관악미림점,37.4671234291247,126.935734457684,서울 관악구 호암로20길 67,5
GS25 신림장원점,37.4665375835787,126.938773452309,서울 관악구 신림로11길 87,5
CU 관악사랑점,37.46838944395164,126.93759178386901,서울 관악구 대학길 52,5
CU 신림제이점,37.468299007699265,126.9386725389639,서울 관악구 신림로11길 48,5
세븐일레븐 서울대정문점,37.46688874922307,126.9476739127923,서울 관악구 신림로 1,5
세븐일레븐 서울대동원관점,37.4650352819092,126.951701579779,서울 관악구 관악로 1,5
수의대 휴게매점,37.4673912535647,126.95351775493,서울 관악구 관악로 1,5
판코,37.4664216731311,126.953283234081,서울 관악구 관악로 1,5
CU 서울대글로벌생활관점,37.46488344002387,126.95750950296797,서울 관악구 관악로 1,5
수의과대학 스낵,37.467409353643,126.953721216624,서울 관악구 관악로 1,5
GS25 서울대연구공원점,37.465822150414986,126.95967139080388,서울 관악구 관악로 1,5
CU 남태령역점,37.465998832954035,126.98923648490093,서울 서초구 전원말4길 2,5
GS25 금천중앙점,37.4696200730154,126.898418820566,서울 금천구 시흥대로 406,5
CU 독산2호점,37.4701934133072,126.897719428755,서울 금천구 시흥대로 409,5
GS25 금천주원점,37.47144758927382,126.89562409789174,서울 금천구 시흥대로123길 47,5
CU 독산마차길점,37.4700265893834,126.893485012774,서울 금천구 두산로 50,5
GS25 독산우정점,37.4692650963324,126.900562601088,서울 금천구 독산로75길 34,5
세븐일레븐 독산지식센터점,37.4688957843722,126.895461473182,서울 금천구 두산로 70,5
세븐일레븐 독산현대점,37.4689435838601,126.895513406293,서울 금천구 두산로 70,5
세븐일레븐 금천우체국점,37.4702258965432,126.898820439915,서울 금천구 시흥대로128길 10,5
CU 독산센터점,37.4708587427379,126.900276745451,서울 금천구 시흥대로130길 21,5
세븐일레븐 금천독산점,37.47159092347899,126.89776952605898,서울 금천구 시흥대로 427,5
이마트24 독산정다운점,37.467776908037756,126.89264604918417,서울 금천구 범안로15길 27,5
세븐일레븐 금천리온점,37.4692024799088,126.894842700008,서울 금천구 두산로14길 18,5
지피지기,37.4694066029309,126.897455979062,서울 금천구 시흥대로 399,5
GS25 독산정심점,37.468694760057,126.903832542813,서울 금천구 독산로74길 21,5
GS25 독산쌈지점,37.471181649115,126.903955968554,서울 금천구 독산로80길 13,5
CU 독산남문점,37.4722479721037,126.903375799668,서울 금천구 독산로 286,5
세븐일레븐 관악국화점,37.4707312479284,126.918485149442,서울 관악구 난곡로31길 30,5
GS25 남강학사점,37.471360005321664,126.91958440841138,서울 관악구 난곡로 181,5
GS25 난곡센터점,37.47134953634321,126.92143385896877,서울 관악구 난곡로30길 27,5
세븐일레븐 우림난우점,37.469986445718,126.920294667995,서울 관악구 난곡로24길 1,5
GS25 관악배수지점,37.46931250485022,126.92443163967181,서울 관악구 난곡로26길 89,5
GS25 신림대학점,37.4700745688396,126.934691921848,서울 관악구 신림로23길 22,5
CU 관악동방점,37.4687375021507,126.934751867142,서울 관악구 신림로23길 49,5
CU 관악동원점,37.4688916783103,126.933322873132,서울 관악구 호암로26가길 43,5
GS25 신림고시촌점,37.4684963074501,126.935253983821,서울 관악구 신림로19길 46-8,5
CU 관악에스식스점,37.4715719132297,126.931276607039,서울 관악구 양지5길 2,5
세븐일레븐 관악호암로점,37.4690181828339,126.93396936623,서울 관악구 호암로22길 21,5
GS25 관악녹두점,37.470850105953566,126.93427184768257,서울 관악구 호암로26길 9,5
세븐일레븐 신림대학스타점,37.4699117670036,126.933579707983,서울 관악구 호암로24길 6,5
세븐일레븐 신림고시촌점,37.4695663966141,126.934687842199,서울 관악구 신림로23길 34,5
CU 신림테라스점,37.4704862715863,126.936233499161,서울 관악구 호암로26길 47,5
GS25 관악고시촌점,37.4691857431061,126.937224862023,서울 관악구 호암로24길 74,5
CU 신림버디점,37.4705562863264,126.937424936415,서울 관악구 신림로 107,5
세븐일레븐 신림낭만거리점,37.4692573528309,126.936344195033,서울 관악구 신림로17길 34,5
CU 뉴신림고시촌점,37.4705310430746,126.93739669616,서울 관악구 신림로 107,5
세븐일레븐 서울대벤처타운점,37.47180433702694,126.9343817982922,서울 관악구 신림로 140,5
잇24 신림점,37.4685632758166,126.935792007072,서울 관악구 호암로22길 56,5
GS25 신림녹두점,37.4703005457284,126.939435086964,서울 관악구 신림로 89,5
CU 신림장미점,37.47051954888285,126.94133519969621,서울 관악구 신림로 73,5
CU 신림블루점,37.4713856065683,126.939913528579,서울 관악구 서림길 112,5
GS25 관악대학점,37.4698654126721,126.94133005869,서울 관악구 신림로7나길 3,5
GS25 신림신성점,37.471961938622,126.939298089657,서울 관악구 서림길 96,5
CU 관악행운점,37.4716514405415,126.938235700071,서울 관악구 신림로12길 13,5
세븐일레븐 관악대학촌점,37.471503454708504,126.94134008308046,서울 관악구 서림3길 70,5
CU 관악선경점,37.4687990398546,126.942190015761,서울 관악구 신림로3가길 41,5
CU 관악산으뜸휴게소점,37.4685813577258,126.94483311143159,서울 관악구 신림로 21,5
CU 관악산점,37.468724454282,126.944482574599,서울 관악구 신림로3가길 2,5
세븐일레븐 관악복마을점,37.4720961131384,126.940925865889,서울 관악구 서림3길 53,5
GS25 관악대원점,37.469269461168246,126.96549692126476,서울 관악구 인헌16길 47,5
