위도,경도,cctv_count,light_count,score,grade
37.4588,126.9006,0,0,0.0,위험
37.45969831117499,126.9006,0,0,0.0,위험
37.46059662234998,126.9006,0,0,0.0,위험
37.461494933524975,126.9006,0,0,0.0,위험
37.46239324469997,126.9006,0,0,0.0,위험
37.46329155587496,126.9006,0,0,0.0,위험
37.46418986704995,126.9006,0,0,0.0,위험
37.465088178224946,126.9006,0,0,0.0,위험
37.46598648939994,126.9006,0,0,0.0,위험
37.46688480057493,126.9006,0,0,0.0,위험
37.467783111749924,126.9006,0,0,0.0,위험
37.46868142292492,126.9006,0,0,0.0,위험
37.46957973409991,126.9006,0,0,0.0,위험
37.4704780452749,126.9006,0,0,0.0,위험
37.471376356449895,126.9006,0,0,0.0,위험
37.47227466762489,126.9006,0,0,0.0,위험
37.47317297879988,126.9006,0,0,0.0,위험
37.47407128997487,126.9006,0,0,0.0,위험
37.474969601149866,126.9006,0,0,0.0,위험
37.47586791232486,126.9006,0,0,0.0,위험
37.47676622349985,126.9006,0,0,0.0,위험
37.477664534674844,126.9006,0,0,0.0,위험
37.47856284584984,126.9006,0,0,0.0,위험
37.47946115702483,126.9006,0,0,0.0,위험
37.48035946819982,126.9006,1,0,0.62,안전
37.481257779374815,126.9006,1,0,0.62,안전
37.48215609054981,126.9006,0,0,0.0,위험
37.4830544017248,126.9006,0,0,0.0,위험
37.48395271289979,126.9006,0,0,0.0,위험
37.484851024074786,126.9006,0,5,9.09,안전
37.48574933524978,126.9006,0,9,16.36,안전
37.48664764642477,126.9006,0,0,0.0,위험
37.487545957599764,126.9006,0,0,0.0,위험
37.48844426877476,126.9006,0,0,0.0,위험
37.48934257994975,126.9006,0,0,0.0,위험
37.49024089112474,126.9006,0,0,0.0,위험
37.4588,126.9017320464922,0,0,0.0,위험
37.45969831117499,126.9017320464922,0,0,0.0,위험
37.46059662234998,126.9017320464922,0,0,0.0,위험
37.461494933524975,126.9017320464922,0,0,0.0,위험
37.46239324469997,126.9017320464922,0,0,0.0,위험
37.46329155587496,126.9017320464922,0,0,0.0,위험
37.46418986704995,126.9017320464922,0,0,0.0,위험
37.465088178224946,126.9017320464922,0,0,0.0,위험
37.46598648939994,126.9017320464922,0,0,0.0,위험
37.46688480057493,126.9017320464922,0,0,0.0,위험
37.467783111749924,126.9017320464922,0,0,0.0,위험
37.46868142292492,126.9017320464922,0,0,0.0,위험
37.46957973409991,126.9017320464922,0,0,0.0,위험
37.4704780452749,126.9017320464922,0,0,0.0,위험
37.471376356449895,126.9017320464922,0,0,0.0,위험
37.47227466762489,126.9017320464922,0,0,0.0,위험
37.47317297879988,126.9017320464922,0,0,0.0,위험
37.47407128997487,126.9017320464922,0,0,0.0,위험
37.474969601149866,126.9017320464922,0,0,0.0,위험
37.47586791232486,126.9017320464922,0,0,0.0,위험
37.47676622349985,126.9017320464922,0,0,0.0,위험
37.477664534674844,126.9017320464922,0,0,0.0,위험
37.47856284584984,126.9017320464922,0,0,0.0,위험
37.47946115702483,126.9017320464922,0,0,0.0,위험
37.48035946819982,126.9017320464922,0,0,0.0,위험
37.481257779374815,126.9017320464922,0,0,0.0,위험
37.48215609054981,126.9017320464922,4,0,2.5,안전
37.4830544017248,126.9017320464922,0,0,0.0,위험
37.48395271289979,126.9017320464922,0,0,0.0,위험
37.484851024074786,126.9017320464922,0,14,25.45,안전
37.48574933524978,126.9017320464922,0,12,21.82,안전
37.48664764642477,126.9017320464922,0,0,0.0,위험
37.487545957599764,126.9017320464922,0,0,0.0,위험
37.48844426877476,126.9017320464922,0,0,0.0,위험
37.48934257994975,126.9017320464922,0,0,0.0,위험
37.49024089112474,126.9017320464922,0,0,0.0,위험
37.4588,126.9028640929844,0,0,0.0,위험
37.45969831117499,126.9028640929844,0,0,0.0,위험
37.46059662234998,126.9028640929844,0,0,0.0,위험
37.461494933524975,126.9028640929844,0,0,0.0,위험
37.46239324469997,126.9028640929844,0,0,0.0,위험
37.46329155587496,126.9028640929844,0,0,0.0,위험
37.46418986704995,126.9028640929844,0,0,0.0,위험
37.465088178224946,126.9028640929844,0,0,0.0,위험
37.46598648939994,126.9028640929844,0,0,0.0,위험
37.46688480057493,126.9028640929844,0,0,0.0,위험
37.467783111749924,126.9028640929844,0,0,0.0,위험
37.46868142292492,126.9028640929844,0,0,0.0,위험
37.46957973409991,126.9028640929844,0,0,0.0,위험
37.4704780452749,126.9028640929844,0,0,0.0,위험
37.471376356449895,126.9028640929844,0,0,0.0,위험
37.47227466762489,126.9028640929844,0,0,0.0,위험
37.47317297879988,126.9028640929844,0,0,0.0,위험
37.47407128997487,126.9028640929844,0,0,0.0,위험
37.474969601149866,126.9028640929844,0,0,0.0,위험
37.47586791232486,126.9028640929844,0,0,0.0,위험
37.47676622349985,126.9028640929844,0,0,0.0,위험
