위도,경도,cctv_count,light_count,safelight_count,conv_count,ent_count,police_count,score,grade
37.51964426877476,126.9171324481343,0,3,0,0,0,0,55.0,안전
37.520542579949755,126.9171324481343,0,3,0,0,0,0,55.0,안전
37.52144089112475,126.9171324481343,0,3,0,0,0,0,55.0,안전
37.52233920229974,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.52323751347473,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.524135824649726,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.52503413582472,126.9171324481343,0,0,0,1,0,0,45.0,보통
37.52593244699971,126.9171324481343,0,0,0,2,0,0,50.0,보통
37.526830758174704,126.9171324481343,0,0,0,2,0,0,50.0,보통
37.5277290693497,126.9171324481343,0,0,0,2,0,0,50.0,보통
37.52862738052469,126.9171324481343,0,0,0,2,0,0,50.0,보통
37.52952569169968,126.9171324481343,0,0,0,1,0,0,45.0,보통
37.530424002874675,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.53132231404967,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.53222062522466,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.53311893639965,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.534017247574646,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.53491555874964,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.53581386992463,126.9171324481343,0,0,0,0,0,0,40.0,위험
37.49,126.9182648962686,0,2,3,0,0,0,59.0,안전
37.490898311174995,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49179662234999,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49269493352498,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49359324469997,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.494491555874966,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49538986704996,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49628817822495,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.497186489399944,126.9182648962686,0,0,0,0,0,1,50.0,보통
37.49808480057494,126.9182648962686,0,0,0,0,0,1,50.0,보통
37.49898311174993,126.9182648962686,0,0,0,0,0,1,50.0,보통
37.49988142292492,126.9182648962686,0,0,0,1,0,1,55.0,안전
37.500779734099915,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.50167804527491,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.5025763564499,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.50347466762489,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.504372978799886,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.50527128997488,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.50616960114987,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.507067912324864,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.50796622349986,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.50886453467485,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.50976284584984,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.510661157024835,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.51155946819983,126.9182648962686,0,0,0,0,1,0,37.0,위험
37.51245777937482,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.51335609054981,126.9182648962686,0,0,0,1,1,0,42.0,보통
37.514254401724806,126.9182648962686,0,0,0,2,1,0,47.0,보통
37.5151527128998,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.51605102407479,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.516949335249784,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.51784764642478,126.9182648962686,0,3,0,0,0,0,55.0,안전
37.51874595759977,126.9182648962686,0,3,0,0,0,0,55.0,안전
37.51964426877476,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.520542579949755,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.52144089112475,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.52233920229974,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.52323751347473,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.524135824649726,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.52503413582472,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.52593244699971,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.526830758174704,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.5277290693497,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.52862738052469,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.52952569169968,126.9182648962686,0,0,0,2,0,0,50.0,보통
37.530424002874675,126.9182648962686,0,0,0,1,0,0,45.0,보통
37.53132231404967,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.53222062522466,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.53311893639965,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.534017247574646,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.53491555874964,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.53581386992463,126.9182648962686,0,0,0,0,0,0,40.0,위험
37.49,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.490898311174995,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.49179662234999,126.9193973444029,0,0,0,1,0,0,45.0,보통
37.49269493352498,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.49359324469997,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.494491555874966,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.49538986704996,126.9193973444029,0,0,0,0,0,0,40.0,위험
37.49628817822495,126.9193973444029,0,0,0,0,0,1,50.0,보통
37.497186489399944,126.9193973444029,0,0,3,1,1,1,61.0,안전
37.49808480057494,126.9193973444029,0,0,0,1,1,1,52.0,보통
