위도,경도,cctv_count,light_count,conv_count,ent_count,score,grade
37.44,126.898,0,0,0,0,40.0,위험
37.44089831117499,126.898,0,0,0,0,40.0,위험
37.44179662234998,126.898,0,0,0,0,40.0,위험
37.442694933524976,126.898,0,0,0,0,40.0,위험
37.44359324469997,126.898,0,0,0,0,40.0,위험
37.44449155587496,126.898,0,0,0,0,40.0,위험
37.445389867049954,126.898,0,0,0,0,40.0,위험
37.44628817822495,126.898,0,0,0,0,40.0,위험
37.44718648939994,126.898,0,0,0,0,40.0,위험
37.44808480057493,126.898,0,0,0,0,40.0,위험
37.448983111749925,126.898,0,0,0,0,40.0,위험
37.44988142292492,126.898,0,0,0,0,40.0,위험
37.45077973409991,126.898,0,0,0,0,40.0,위험
37.4516780452749,126.898,0,0,0,0,40.0,위험
37.452576356449896,126.898,0,0,0,0,40.0,위험
37.45347466762489,126.898,0,0,1,0,45.0,보통
37.45437297879988,126.898,0,0,1,0,45.0,보통
37.455271289974874,126.898,0,0,0,0,40.0,위험
37.45616960114987,126.898,0,0,0,0,40.0,위험
37.45706791232486,126.898,0,0,1,0,45.0,보통
37.45796622349985,126.898,0,0,1,0,45.0,보통
37.458864534674845,126.898,0,0,0,0,40.0,위험
37.45976284584984,126.898,0,0,1,0,45.0,보통
37.46066115702483,126.898,0,0,1,0,45.0,보통
37.46155946819982,126.898,0,0,0,0,40.0,위험
37.462457779374816,126.898,0,0,0,0,40.0,위험
37.46335609054981,126.898,0,0,1,0,45.0,보통
37.4642544017248,126.898,0,0,2,0,50.0,보통
37.465152712899794,126.898,0,0,2,0,50.0,보통
37.46605102407479,126.898,0,0,1,0,45.0,보통
37.46694933524978,126.898,0,0,0,0,40.0,위험
37.46784764642477,126.898,0,0,2,0,50.0,보통
37.468745957599765,126.898,0,0,1,0,45.0,보통
37.46964426877476,126.898,0,0,2,0,50.0,보통
37.47054257994975,126.898,0,0,2,0,50.0,보통
37.47144089112474,126.898,0,0,1,0,45.0,보통
37.472339202299736,126.898,0,0,2,0,50.0,보통
37.47323751347473,126.898,0,0,1,0,45.0,보통
37.47413582464972,126.898,0,0,1,0,45.0,보통
37.475034135824714,126.898,0,0,1,0,45.0,보통
37.47593244699971,126.898,0,0,1,0,45.0,보통
37.4768307581747,126.898,0,0,1,0,45.0,보통
37.47772906934969,126.898,0,0,1,0,45.0,보통
37.478627380524685,126.898,0,0,0,0,40.0,위험
37.47952569169968,126.898,0,0,0,0,40.0,위험
37.48042400287467,126.898,0,0,2,0,50.0,보통
37.48132231404966,126.898,0,0,2,0,50.0,보통
37.482220625224656,126.898,0,0,2,0,50.0,보통
37.48311893639965,126.898,0,0,1,0,45.0,보통
37.48401724757464,126.898,0,0,1,0,45.0,보통
37.484915558749634,126.898,0,0,1,0,45.0,보통
37.48581386992463,126.898,0,0,2,0,50.0,보통
37.48671218109962,126.898,0,0,0,0,40.0,위험
37.48761049227461,126.898,0,0,0,0,40.0,위험
37.488508803449605,126.898,0,0,1,0,45.0,보통
37.4894071146246,126.898,0,0,1,0,45.0,보통
37.49030542579959,126.898,0,0,1,0,45.0,보통
37.49120373697458,126.898,0,0,1,0,45.0,보통
37.492102048149576,126.898,0,0,1,0,45.0,보통
37.49300035932457,126.898,0,0,1,0,45.0,보통
37.49389867049956,126.898,0,0,2,0,50.0,보통
37.494796981674554,126.898,0,0,1,0,45.0,보통
37.49569529284955,126.898,0,0,0,0,40.0,위험
37.49659360402454,126.898,0,0,1,0,45.0,보통
37.44,126.89913184186867,0,0,0,0,40.0,위험
37.44089831117499,126.89913184186867,0,0,0,0,40.0,위험
37.44179662234998,126.89913184186867,0,0,0,0,40.0,위험
37.442694933524976,126.89913184186867,0,0,0,0,40.0,위험
37.44359324469997,126.89913184186867,0,0,0,0,40.0,위험
37.44449155587496,126.89913184186867,0,0,0,0,40.0,위험
37.445389867049954,126.89913184186867,0,0,0,0,40.0,위험
37.44628817822495,126.89913184186867,0,0,0,0,40.0,위험
37.44718648939994,126.89913184186867,0,0,0,0,40.0,위험
37.44808480057493,126.89913184186867,0,0,0,0,40.0,위험
37.448983111749925,126.89913184186867,0,0,0,0,40.0,위험
37.44988142292492,126.89913184186867,0,0,0,0,40.0,위험
37.45077973409991,126.89913184186867,0,0,1,0,45.0,보통
37.4516780452749,126.89913184186867,0,0,0,0,40.0,위험
37.452576356449896,126.89913184186867,0,0,1,0,45.0,보통
37.45347466762489,126.89913184186867,0,0,1,0,45.0,보통
37.45437297879988,126.89913184186867,0,0,1,0,45.0,보통
37.455271289974874,126.89913184186867,0,0,0,0,40.0,위험
37.45616960114987,126.89913184186867,0,0,1,0,45.0,보통
37.45706791232486,126.89913184186867,0,0,2,0,50.0,보통
37.45796622349985,126.89913184186867,0,0,1,0,45.0,보통
37.458864534674845,126.89913184186867,0,0,0,0,40.0,위험
37.45976284584984,126.89913184186867,0,0,1,0,45.0,보통
37.46066115702483,126.89913184186867,0,0,1,0,45.0,보통
37.46155946819982,126.89913184186867,0,0,1,0,45.0,보통
37.462457779374816,126.89913184186867,0,0,0,0,40.0,위험
37.46335609054981,126.89913184186867,0,0,1,0,45.0,보통
37.4642544017248,126.89913184186867,0,0,2,0,50.0,보통
37.465152712899794,126.89913184186867,0,0,2,0,50.0,보통
37.46605102407479,126.89913184186867,0,0,2,0,50.0,보통
37.46694933524978,126.89913184186867,0,0,1,0,45.0,보통
37.46784764642477,126.89913184186867,0,0,2,0,50.0,보통
37.468745957599765,126.89913184186867,0,0,1,0,45.0,보통
37.46964426877476,126.89913184186867,0,0,2,0,50.0,보통
37.47054257994975,126.89913184186867,0,0,1,0,45.0,보통
37.47144089112474,126.89913184186867,0,0,0,0,40.0,위험
37.472339202299736,126.89913184186867,0,0,1,0,45.0,보통
37.47323751347473,126.89913184186867,0,0,1,0,45.0,보통
37.47413582464972,126.89913184186867,0,0,0,0,40.0,위험
37.475034135824714,126.89913184186867,0,0,0,0,40.0,위험
37.47593244699971,126.89913184186867,0,0,1,0,45.0,보통
37.4768307581747,126.89913184186867,0,0,1,0,45.0,보통
37.47772906934969,126.89913184186867,0,0,1,0,45.0,보통
37.478627380524685,126.89913184186867,0,0,0,0,40.0,위험
37.47952569169968,126.89913184186867,0,0,0,0,40.0,위험
37.48042400287467,126.89913184186867,0,0,1,0,45.0,보통
37.48132231404966,126.89913184186867,0,0,2,0,50.0,보통
37.482220625224656,126.89913184186867,0,0,2,0,50.0,보통
37.48311893639965,126.89913184186867,0,0,2,0,50.0,보통
37.48401724757464,126.89913184186867,0,0,2,0,50.0,보통
37.484915558749634,126.89913184186867,0,0,2,0,50.0,보통
37.48581386992463,126.89913184186867,0,0,2,0,50.0,보통
37.48671218109962,126.89913184186867,0,0,1,0,45.0,보통
37.48761049227461,126.89913184186867,0,0,0,0,40.0,위험
37.488508803449605,126.89913184186867,0,0,1,0,45.0,보통
37.4894071146246,126.89913184186867,0,0,1,0,45.0,보통
37.49030542579959,126.89913184186867,0,0,1,0,45.0,보통
37.49120373697458,126.89913184186867,0,0,0,0,40.0,위험
37.492102048149576,126.89913184186867,0,0,0,0,40.0,위험
37.49300035932457,126.89913184186867,0,0,2,0,50.0,보통
37.49389867049956,126.89913184186867,0,0,2,0,50.0,보통
37.494796981674554,126.89913184186867,0,0,1,0,45.0,보통
37.49569529284955,126.89913184186867,0,0,1,0,45.0,보통
37.49659360402454,126.89913184186867,0,0,2,0,50.0,보통
37.44,126.90026368373734,0,0,0,0,40.0,위험
37.44089831117499,126.90026368373734,0,0,0,0,40.0,위험
37.44179662234998,126.90026368373734,0,0,0,0,40.0,위험
37.442694933524976,126.90026368373734,0,0,0,0,40.0,위험
37.44359324469997,126.90026368373734,0,0,0,0,40.0,위험
37.44449155587496,126.90026368373734,0,0,0,0,40.0,위험
37.445389867049954,126.90026368373734,0,0,1,0,45.0,보통
37.44628817822495,126.90026368373734,0,0,1,0,45.0,보통
37.44718648939994,126.90026368373734,0,0,1,0,45.0,보통
37.44808480057493,126.90026368373734,0,0,0,0,40.0,위험
37.448983111749925,126.90026368373734,0,0,0,0,40.0,위험
37.44988142292492,126.90026368373734,0,0,1,0,45.0,보통
37.45077973409991,126.90026368373734,0,0,1,0,45.0,보통
37.4516780452749,126.90026368373734,0,0,1,0,45.0,보통
37.452576356449896,126.90026368373734,0,0,0,0,40.0,위험
37.45347466762489,126.90026368373734,0,0,1,0,45.0,보통
37.45437297879988,126.90026368373734,0,0,1,0,45.0,보통
37.455271289974874,126.90026368373734,0,0,2,0,50.0,보통
37.45616960114987,126.90026368373734,0,0,1,0,45.0,보통
37.45706791232486,126.90026368373734,0,0,2,0,50.0,보통
37.45796622349985,126.90026368373734,0,0,1,0,45.0,보통
37.458864534674845,126.90026368373734,0,0,1,0,45.0,보통
37.45976284584984,126.90026368373734,0,0,2,0,50.0,보통
37.46066115702483,126.90026368373734,0,0,1,0,45.0,보통
37.46155946819982,126.90026368373734,0,0,2,0,50.0,보통
37.462457779374816,126.90026368373734,0,0,1,0,45.0,보통
37.46335609054981,126.90026368373734,0,0,1,0,45.0,보통
37.4642544017248,126.90026368373734,0,0,2,0,50.0,보통
37.465152712899794,126.90026368373734,0,0,0,0,40.0,위험
37.46605102407479,126.90026368373734,0,0,1,0,45.0,보통
37.46694933524978,126.90026368373734,0,0,2,0,50.0,보통
37.46784764642477,126.90026368373734,0,0,2,0,50.0,보통
37.468745957599765,126.90026368373734,0,0,1,0,45.0,보통
37.46964426877476,126.90026368373734,0,0,1,0,45.0,보통
37.47054257994975,126.90026368373734,0,0,1,0,45.0,보통
37.47144089112474,126.90026368373734,0,0,1,0,45.0,보통
37.472339202299736,126.90026368373734,0,0,1,0,45.0,보통
37.47323751347473,126.90026368373734,0,0,1,0,45.0,보통
37.47413582464972,126.90026368373734,0,0,0,0,40.0,위험
37.475034135824714,126.90026368373734,0,0,0,0,40.0,위험
37.47593244699971,126.90026368373734,0,0,0,0,40.0,위험
37.4768307581747,126.90026368373734,0,0,2,0,50.0,보통
37.47772906934969,126.90026368373734,0,0,1,0,45.0,보통
37.478627380524685,126.90026368373734,0,0,1,0,45.0,보통
37.47952569169968,126.90026368373734,3,0,0,0,55.0,안전
37.48042400287467,126.90026368373734,4,0,0,0,60.0,안전
37.48132231404966,126.90026368373734,2,0,0,1,47.0,보통
37.482220625224656,126.90026368373734,0,0,1,2,39.0,위험
37.48311893639965,126.90026368373734,0,0,2,0,50.0,보통
37.48401724757464,126.90026368373734,0,0,2,0,50.0,보통
