name,lat,lng,category,address
라밥 노량진2호점,37.51230421,126.9441065,음식점 > 분식,서울 동작구 노량진로16길 29
라밥 관악점,37.49014652,126.925832,음식점 > 분식,서울 관악구 봉천로 217
라밥 노량진3호점,37.51259388,126.9450654,음식점 > 분식,서울 동작구 만양로14가길 22
라밥 서울대입구역점,37.48174802,126.951459,음식점 > 분식,서울 관악구 남부순환로 1811
라밥 낙성대점,37.477282,126.9620824,음식점 > 분식,서울 관악구 남부순환로 1916
라밥 맛있는우리동네식당 서울대2호점,37.47884159,126.9520013,음식점 > 분식,서울 관악구 쑥고개로 139
라밥 신대방2호점,37.48610525,126.9135307,음식점 > 분식,서울 관악구 난곡로 359
라밥 대방역점,37.51373909,126.9268549,음식점 > 분식,서울 영등포구 여의대방로62길 4
라밥 신길점,37.51782202,126.9129523,음식점 > 분식,서울 영등포구 경인로 900
라밥 이수2호점,37.48749412,126.9812223,음식점 > 분식,서울 동작구 동작대로27길 11
라밥 영등포2호점,37.51834637,126.9058615,음식점 > 분식,서울 영등포구 영중로 22
육전국밥 신대방삼거리역점,37.50002239,126.9286517,음식점 > 한식 > 국밥,서울 동작구 상도로 71
육전국밥 신림역점,37.48480893,126.9317688,음식점 > 한식 > 국밥,서울 관악구 남부순환로 1631
육전국밥 노량진역점,37.51356651,126.9441044,음식점 > 한식 > 국밥,서울 동작구 노량진로 162
육전국밥 서울대입구역점,37.47981562,126.9521115,음식점 > 한식 > 국밥,서울 관악구 관악로 163
육전국밥 이수역점,37.48415234,126.9816325,음식점 > 한식 > 국밥,서울 동작구 동작대로 85
육전국밥 여의도역점,37.52230003,126.9262255,음식점 > 한식 > 국밥,서울 영등포구 여의나루로 60
육전국밥 영등포시장역점,37.52113269,126.9052551,음식점 > 한식 > 국밥,서울 영등포구 영중로 56
육전한우국밥,37.51444885,126.8995571,음식점 > 한식 > 국밥,서울 영등포구 경인로 775
바로커피 사당1호점,37.48992205,126.970906,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 사당로23길 175
백억커피 신대방삼거리점,37.49904318,126.9335946,음식점 > 카페,서울 동작구 성대로 43
백억커피 동작구청점,37.50473452,126.9415233,음식점 > 카페 > 커피전문점 > 백억커피,서울 동작구 상도로30길 14
백억커피 서울대입구역점,37.48131958,126.9503547,음식점 > 카페 > 커피전문점 > 백억커피,서울 관악구 남부순환로 1802
백억커피 노량진역점,37.51310154,126.9385533,음식점 > 카페,서울 동작구 노량진로 114
백억커피 서원역점,37.47739869,126.9376736,음식점 > 카페,서울 관악구 쑥고개로 3
백억커피 낙성대점,37.47388665,126.9669351,음식점 > 카페 > 커피전문점 > 백억커피,서울 관악구 인헌길 35
백억커피 이촌점,37.52008818,126.9728852,음식점 > 카페 > 커피전문점 > 백억커피,서울 용산구 이촌로 248
백억커피 이수역점,37.48886098,126.9814221,음식점 > 카페 > 커피전문점,서울 동작구 동작대로29가길 23
백억커피 신길점,37.50572499,126.9080002,음식점 > 카페,서울 영등포구 가마산로 466
백억커피 신림난곡점,37.4750767,126.9170198,음식점 > 카페 > 커피전문점 > 백억커피,서울 관악구 난곡로 232-1
백억커피 구로점,37.48158603,126.9011986,음식점 > 카페 > 커피전문점 > 백억커피,서울 관악구 시흥대로160길 12
백억커피 신림점,37.48667237,126.9260401,음식점 > 카페,서울 관악구 신림동7길 8
보라매25시해장국,37.49966778,126.9235065,음식점 > 한식 > 해장국,서울 동작구 상도로 26-1
용문25시마트,37.48327256,126.92848,"가정,생활 > 슈퍼마켓",서울 관악구 남부순환로176길 16
25시감자탕제주통돼지,37.5114146,126.9148984,음식점 > 한식 > 감자탕,서울 영등포구 도신로 214
CVS25시편의점,37.47310268,126.9184509,"가정,생활 > 편의점",서울 관악구 난곡로 203
큰맘할매순대국 신대방삼거리역점,37.49898665,126.9293482,음식점 > 한식 > 순대 > 큰맘할매순대국,서울 동작구 국사봉1길 11
큰맘할매순대국 흑석동점,37.50804081,126.962794,음식점 > 한식 > 순대 > 큰맘할매순대국,서울 동작구 서달로 167
큰맘할매순대국 여의도역점,37.52101469,126.9239915,음식점 > 한식 > 순대 > 큰맘할매순대국,서울 영등포구 의사당대로 108
큰맘할매순대국 문래산들바다점,37.51939854,126.8982289,음식점 > 한식 > 순대 > 큰맘할매순대국,서울 영등포구 문래북로 116
큰맘할매순대국 당산점,37.52877696,126.90774,음식점 > 한식 > 순대 > 큰맘할매순대국,서울 영등포구 버드나루로 119
카페인24 관악동아타운점,37.48902584,126.9570775,음식점 > 카페 > 테마카페 > 무인카페 > 카페인24,서울 관악구 관악로37길 15
카페인24 사당롯데캐슬점,37.49075159,126.9634065,음식점 > 카페 > 테마카페 > 무인카페 > 카페인24,서울 동작구 사당로 90
카페인24 더샵파크프레스티지점,37.50858316,126.9167452,음식점 > 카페 > 테마카페 > 무인카페 > 카페인24,서울 영등포구 가마산로79길 37
커피무카 24 신림점,37.48313017,126.9255133,음식점 > 카페,서울 관악구 신원로3길 61
커피무카24 신림2호점,37.4850427,126.918231,"가정,생활 > 식품판매",서울 관악구 남부순환로161가길 9
상도고려왕족발보쌈애감자탕,37.49921991,126.9276867,"음식점 > 한식 > 육류,고기 > 족발,보쌈",서울 동작구 여의대방로24길 137
노량진수산시장 청양수산 횟집,37.51461049,126.9381132,"음식점 > 한식 > 해물,생선 > 회",서울 동작구 노들로 674
나주곰탕사당본점,37.47738914,126.9802288,음식점 > 한식 > 곰탕,서울 동작구 동작대로1길 18
