lat,lng
37.510141,126.939452
37.512401,126.937588
37.507402,126.941599
37.511299,126.94531
37.508595,126.941561
37.509271,126.937572
37.511253,126.942072
37.5097,126.955522
37.511993,126.95097
37.492257,126.954596
37.494556,126.956525
37.502511,126.950148
37.502509,126.95185
37.501578,126.953161
37.496134,126.952592
37.503376,126.933614
37.504266,126.93464
37.503636,126.938269
37.506361,126.946482
37.502696,126.927738
37.495284,126.93111
37.496948,126.933476
37.49776,126.930216
37.499267,126.935076
37.495933,126.93643
37.500228,126.938806
37.498074,126.946702
37.505868,126.961821
37.504228,126.962923
37.508554,126.955996
37.503286,126.961867
37.50129,126.925405
37.501632,126.928497
37.50754,126.934881
37.513961,126.927954
37.502113,126.926474
37.498486,126.92241
37.489637,126.971126
37.485881,126.907861
37.488202,126.913845
37.489168,126.915635
37.489686,126.91114
37.489872,126.913336
37.496137,126.925826
37.497135,126.928482
37.495,126.926443
37.495315,126.923357
37.488725,126.981507
37.49718,126.98061
37.491329,126.978754
37.487471,126.979921
37.488666,126.978653
37.4788,126.975572
37.476405,126.972527
37.480336,126.975619
37.47717,126.974711
37.485536,126.97826
37.491442,126.98031
37.484973,126.978914
37.486125,126.970305
37.483101,126.967271
37.489331,126.964628
37.487015,126.965974
37.482635,126.971011
37.482728,126.97348
37.477351,126.970335
37.480667,126.973501
37.512362,126.942534
37.510953,126.956854
37.499693,126.95137
37.506506,126.950991
37.501462,126.933041
37.498969,126.94462
37.500512,126.934254
37.504835,126.971261
37.508022,126.96365
37.492523,126.979115
37.486923,126.975568
37.48628,126.971528
37.47911,126.972556
37.490168,126.964579
37.486624,126.967617
37.502094,126.927893
37.50689,126.933515
37.485264,126.904984
37.4939,126.925753
37.496934,126.929566
37.492062,126.914575
37.487677,126.912608
37.495509,126.926304
37.500997,126.948616
37.494577,126.932779
37.496504,126.938819
37.49773,126.947165
37.500251,126.962356
37.509785,126.934401
37.489607,126.962954
37.511247,126.954867
37.50678,126.957067
37.501089,126.952186
37.502801,126.945828
37.500733,126.938986
37.493446,126.931367
37.495792,126.929981
37.499117,126.942447
37.489549,126.971344
37.492633,126.976701
37.49055,126.98104
37.477791,126.978261
37.482028,126.969648
37.484122,126.968809
37.482189,126.975594
37.47732,126.980062
37.490057,126.909711
37.496973,126.924359
37.508377,126.940412
37.50806,126.93763
37.508992,126.960979
37.485208,126.979901
37.47837,126.977286
37.4799,126.97026
37.493465,126.954259
37.498074,126.941218
37.487844,126.91161
37.508871,126.936006
37.511584,126.957506
37.508094,126.939253
37.502087,126.94754
37.501368,126.938624
37.493876,126.931079
37.495272,126.94413
37.507815,126.958876
37.477385,126.972679
37.496431,126.982458
37.487183,126.970132
37.479738,126.96939
37.487723,126.964627
37.500313,126.925295
37.488631,126.911938
37.496716,126.922388
37.510583,126.948289
37.508437,126.935886
37.501223,126.950681
37.504868,126.934725
37.498655,126.931451
37.500302,126.93354
37.504363,126.96422
37.477737,126.975788
37.490807,126.981918
37.491504,126.969647
37.478304,126.971561
37.485368,126.968174
37.502806,126.922712
37.489546,126.912827
37.495693,126.924633
37.505206,126.969323
37.509006,126.946658
37.512502,126.947435
37.511304,126.955926
37.511681,126.944576
37.510838,126.942435
37.510234,126.946324
37.508077,126.951433
37.510286,126.955277
37.511645,126.936041
37.507002,126.936137
37.511515,126.937663
37.510085,126.937128
37.509453,126.938573
37.512797,126.936003
37.509686,126.936748
37.505059,126.936838
37.506745,126.945935
37.502136,126.93706
37.502527,126.939514
37.503809,126.94488
37.504774,126.940745
37.50554,126.946776
37.495338,126.935133
37.501938,126.929044
37.502663,126.929259
37.500765,126.930296
37.503008,126.932949
37.494809,126.934709
37.49783,126.932901
37.500347,126.936413
37.496815,126.945867
37.494863,126.938693
37.498689,126.939487
37.501525,126.935744
37.4975,126.934634
37.496808,126.937804
37.49706,126.941474
37.509772,126.933194
37.510421,126.934101
37.49879,126.924367
37.500651,126.929372
37.50409,126.92266
37.503972,126.924172
37.498445,126.920952
37.492078,126.913195
37.489967,126.912259
37.48652,126.909988
37.493399,126.9149
37.487625,126.908275
37.487627,126.909689
37.488902,126.911369
37.496297,126.916212
37.497724,126.925845
37.495038,126.925117
37.493847,126.926309
37.497508,126.929073
37.497321,126.926859
37.493351,126.961114
37.497876,126.955321
37.50031,126.951381
37.498092,126.951464
37.503997,126.9682
37.496179,126.938547
37.505459,126.956084
37.503404,126.962272
37.478834,126.979016
37.482682,126.976209
37.47706,126.97157
37.478328,126.98003
37.496509,126.980595
37.486286,126.981138
37.489088,126.98055
37.491017,126.977737
37.486837,126.97713
37.490157,126.970926
37.492615,126.969257
37.484446,126.972755
37.478817,126.971481
37.482977,126.972734
37.481357,126.971607
37.484012,126.971807
37.484065,126.967635
37.499024,126.951945
37.484575,126.969349
37.511769,126.943357
37.512937,126.956204
37.504012,126.946007
37.505197,126.968238
37.480008,126.976487
37.489448,126.979927
37.487172,126.981628
37.483017,126.972059
37.513546,126.927093
37.496799,126.921268
37.50932,126.956989
37.509556,126.958052
37.509986,126.958867
37.509083,126.958717
37.509057,126.957812
37.508609,126.956737
37.509276,126.959515
37.496169,126.926774
37.509867,126.941307
37.511058,126.943087
37.483324,126.969946
37.488435,126.912668
37.504369,126.970485
37.513025,126.943763
37.510455,126.951117
37.509344,126.944765
37.507703,126.943031
37.507792,126.93603
37.510858,126.937069
37.503084,126.937737
37.504322,126.936017
37.503191,126.944858
37.493222,126.932943
37.502316,126.932906
37.499189,126.93122
37.501751,126.936451
37.499179,126.938968
37.497119,126.934927
37.505018,126.924775
37.506328,126.934142
37.499062,126.925253
37.489617,126.909452
37.490321,126.910814
37.490055,126.90881
37.490071,126.912864
37.497688,126.922301
37.494671,126.925682
37.497733,126.923779
37.503736,126.953605
37.493657,126.955347
37.50263,126.952966
37.494666,126.957619
37.506576,126.949675
37.500503,126.931222
37.499071,126.936423
37.50574,126.956671
37.508202,126.962202
37.503354,126.964189
37.506736,126.960103
37.479497,126.979406
37.481499,126.975679
37.479149,126.9749
37.477791,126.979548
37.477572,126.976136
37.495837,126.981921
37.490564,126.981049
37.486061,126.9795
37.491784,126.970536
37.487375,126.968233
37.492846,126.967497
37.482706,126.974581
37.478163,126.972464
37.480995,126.968574
37.491464,126.963371
37.482142,126.967531
37.487781,126.965904
37.496829,126.920797
37.49628,126.923564
37.511964,126.947494
37.5090167,126.939125
37.502951,126.936497
37.493412,126.932411
37.497827,126.936121
37.508005,126.958014
37.504517,126.967404
37.483805,126.980926
37.479556,126.977302
37.4778,126.977614
37.488634,126.980217
37.491923,126.977129
37.486484,126.9792
37.482242,126.972893
37.482603,126.967853
37.497172,126.926814
37.49622,126.934164
37.497497,126.936865
37.513063,126.942066
37.511822,126.937035
37.50329,126.95339
37.503677,126.93725
37.499398,126.929952
37.507259,126.962844
37.478254,126.976625
37.485534,126.981091
37.484186,126.973154
37.483839,126.970505
37.484348,126.96853
37.501014,126.927511
37.499673,126.933764
37.488065,126.91077
37.506076,126.940411
37.511219,126.939273
37.502657,126.948749
37.502854,126.930206
37.502821,126.93455
37.49539,126.937463
37.507693,126.96169
37.506475,126.938163
37.476259,126.971123
37.489482,126.981733
37.499218,126.923754
37.488652,126.90967
37.501576,126.934462
37.500714,126.934924
37.500158,126.935159
37.498462,126.934862
37.500382,126.939761
37.496874,126.940733
37.498886,126.942298
37.495547,126.943389
37.499455,126.939855
37.49659,126.94704
37.501938,126.941086
37.50795,126.960205
37.491031,126.908983
37.496828,126.923147
37.512963,126.945845
37.509969,126.938013
37.49729,126.952246
37.499981,126.930574
37.507791,126.957456
37.479316,126.978043
37.489893,126.979508
37.498858,126.928556
37.490214,126.91194
37.487114,126.911346
37.51202,126.944927
37.494877,126.936618
37.501124,126.934185
37.505655,126.95534
37.488151,126.982041
37.484672,126.977614
37.505568,126.924275
37.510772,126.934698
37.493633,126.913442
37.503346,126.950672
37.502214,126.938419
37.501278,126.929692
37.494271,126.93555
37.504873,126.97008
37.491586,126.977955
37.477844,126.969411
37.483996,126.969299
37.496839,126.936587
37.502729,126.926715
37.50071,126.949216
37.507312,126.929554
37.509762,126.928203
37.503605,126.930789
37.51348,126.949172
37.510139,126.962997
37.502832,126.978479
37.498183,126.921951
37.480192,126.969925
37.498835,126.944981
37.510694,126.954264
37.500643,126.930222
37.494448,126.91249
37.496129,126.939241
37.496589,126.978767
37.492122,126.955625
37.506938,126.951721
37.503157,126.942867
37.481829,126.973922
37.493729,126.952993
37.506877,126.935259
37.503902,126.932515
37.508747,126.943188
37.507588,126.95425
37.509515,126.955397
37.493161,126.935217
37.485484,126.967198
37.501598,126.951054
37.483475,126.967874
37.50658,126.925766
37.503954,126.967973
37.480565,126.980006
37.485543,126.97493
37.504794,126.943821
37.500072,126.949559
37.496979,126.933958
37.486845,126.969743
37.494121,126.91305
37.495444,126.940759
37.492494,126.943075
37.485934,126.964387
37.506651,126.964084
37.482204,126.969545
37.478152,126.970144
37.480051,126.973159
37.479996,126.974022
37.476951,126.980634
37.488404,126.97428
37.49387,126.980199
37.496645,126.932071
37.50547,126.941989
37.486202,126.965725
37.503298,126.954376
37.487415,126.965383
37.495177,126.929625
37.506493,126.937574
37.506531,126.949769
37.506467,126.949816
37.487257,126.974419
37.506002,126.951703
37.51011,126.95325
37.4878,126.97528
37.51118,126.94845
37.50871,126.96404
37.50985,126.92652
37.50582,126.96111
37.49304,126.97579
37.50847,126.93271
37.4886,126.96466
37.4995,126.93518
37.50597,126.9522
37.50071,126.9451
37.50116,126.93692
37.5002,126.92668
37.49537,126.91649
37.4818,126.97953
37.48588,126.9753
37.48111,126.96585
37.51049,126.94039
37.5048,126.95201
37.51187,126.94145
37.488,126.91316
37.5111,126.95409
37.48745,126.97505
37.50051,126.93667
37.51084,126.92588
37.4885,126.96374
37.5096,126.94883
37.50803,126.96289
37.49842,126.94507
37.50896,126.94113
37.49894,126.93265
37.49782,126.92711
37.48984,126.97217
37.49374,126.93621
37.50473,126.92326
37.50165,126.96363
37.50226,126.94654
37.49521,126.95232
37.49927,126.92097
37.49537,126.91649
37.50887,126.93229
37.50711,126.94816
37.49972,126.94293
37.50505,126.95381
37.48702,126.974
37.49464,126.97829
37.50112,126.96022
37.50738,126.96166
37.48201,126.96671
37.48268,126.96836
37.50883,126.96161
37.49577,126.95301
37.5084,126.94379
37.50981,126.94282
37.49751,126.9441
37.49876,126.93719
37.48859,126.90777
37.50931,126.92825
37.49551,126.91282
37.5012,126.93997
37.49612,126.94075
37.5063,126.95514
37.50406,126.95026
37.49321,126.93579
37.49921,126.92657
37.50721,126.95188
37.4829,126.9776
37.49987,126.96193
37.48507,126.97234
37.49787,126.95028
37.50434,126.96525
37.48395,126.9684
37.49711,126.9451
37.49666,126.93526
37.49353,126.97809
37.50402,126.95177
37.51186,126.94026
37.50874,126.92528
37.51118,126.92836
37.49913,126.94387
37.50363,126.96092
37.48839,126.96612
37.49724,126.95031
37.4976,126.93523
37.49971,126.96076
37.50557,126.96624
37.48276,126.97952
37.50781,126.93024
37.50647,126.95212
37.4854,126.97315
37.48881,126.91243
37.49814,126.93732
37.49551,126.98248
37.51092,126.92659
37.50019,126.92771
37.49721,126.94395
37.49547,126.95194
37.49931,126.94552
37.50591,126.9412
37.50813,126.94824
37.50697,126.9323
37.50919,126.95076
37.501019,126.943881
37.48819,126.975792
37.49983,126.94203
37.4995,126.94282
37.4979,126.94431
37.4977,126.94503
37.4977,126.94503
37.49588,126.94459
37.49419,126.94404
37.49561,126.94529
37.49508,126.94577
37.49669,126.94631
37.49638,126.9465
37.49601,126.94675
37.48606,126.90677
37.48598,126.90624
37.48822,126.9089
37.49662,126.93079
37.49579,126.93036
37.49468,126.93133
37.49605,126.93127
37.49572,126.93159
37.49546,126.9319
37.49507,126.93322
37.48345,126.97955
37.48225,126.97957
37.48125,126.97942
37.48065,126.97811
37.48179,126.97808
37.48281,126.97824
37.48243,126.97686
37.48075,126.977
37.48124,126.98004
37.49729,126.93119
37.49627,126.93218
37.49612,126.93035
37.4859,126.97548
37.4822,126.97188
37.48185,126.97253
37.48125,126.97262
37.4811,126.97253
37.48114,126.97325
37.48348,126.97859
37.4823,126.98009
37.48055,126.98075
37.48169,126.98089
37.48273,126.98095
37.48605,126.98008
37.47816,126.97044
37.48958,126.91382
37.48681,126.90915
37.50773,126.96109
37.51246,126.94431
37.51052,126.9446
37.48758,126.98109
