표찰번호,행정동,지번,설치일자,등주형태,램프종류,총등수,기준일자
만양로1-9-,노량진1동,118-14,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1-11-,노량진1동,32905,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1-12-,노량진1동,119-253,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1-13-,노량진1동,118-14,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1-14-,노량진1동,121-3,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1-15-,노량진1동,120-4,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로1=1-,노량진1동,114-3,2016-08-23,강판주,LED일체형,4,2024-07-29
만양로1=10-,노량진1동,32905,2016-08-23,강판주,LED일체형,4,2024-07-29
만양로1=16-,노량진1동,120-6,2016-08-23,강판주,LED일체형,4,2024-07-29
만양로2-1-,노량진1동,118-14,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-2-,노량진1동,118-14,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-3-,노량진1동,223-27,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-4-,노량진1동,224,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-5-,노량진1동,221,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-6-,노량진1동,215-179,2016-08-23,신호통합주,LED일체형,3,2024-07-29
만양로2-7-,노량진1동,215-179,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-8-,노량진1동,223-5,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-9-,노량진1동,215-482,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-10-,노량진1동,215-482,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-11-,노량진1동,215-186,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-12-,노량진1동,215-9,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-13-,노량진1동,216-4,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-14-,노량진1동,216-8,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-15-,노량진1동,216-13,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-16-,노량진1동,323-1,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-17-,노량진1동,215-110,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-18-,노량진1동,323-1,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-19-,노량진1동,323-1,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-20-,노량진1동,215-138,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-21-,노량진1동,215-136,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-22-,노량진1동,331,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-23-,노량진1동,215-179,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로2-24-,노량진1동,215-179,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-1-,노량진1동,414,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-2-,노량진1동,324-2,2016-08-23,신호통합주,LED일체형,3,2024-07-29
만양로3-3-,노량진1동,414,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-4-,상도2동,414-2,2016-08-23,신호통합주,LED일체형,3,2024-07-29
만양로3-5-,상도2동,414-2,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-6-,상도2동,414,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-7-,상도2동,17-62,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-8-,상도2동,45308,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-9-,상도2동,45308,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-10-,상도2동,45308,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-11-,상도2동,36-38,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-13-,상도2동,36-38,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-14-,상도2동,36-38,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3-15-,상도2동,36-38,2016-08-23,강판주,LED일체형,3,2024-07-29
만양로3=12-,상도2동,36-38,2016-08-23,강판주,LED일체형,4,2024-07-29
만양로3길1-1-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-3-,노량진1동,325-7,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-4-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-5-,노량진1동,325-6,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-6-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-7-,노량진1동,325-5,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-8-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-9-,노량진1동,325-5,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-10-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-11-,노량진1동,325-4,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-12-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-13-,노량진1동,325-4,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-14-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-15-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-16-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-18-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-19-,노량진1동,329-14,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-20-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-21-,노량진1동,329-13,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-22-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-23-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-24-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-25-,노량진1동,325-2,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-26-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-27-,노량진1동,325-2,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-28-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-29-,노량진1동,325-1,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-30-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-31-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-32-,노량진1동,329,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-33-,노량진2동,329-5,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-34-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-35-,노량진2동,329-5,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-36-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-37-,노량진2동,329-4,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-38-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-39-,노량진2동,329-3,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-40-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-41-,노량진1동,329-3,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-42-,노량진1동,325,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-43-,노량진1동,329-3,2016-08-30,신호통합주,LED일체형,3,2024-07-29
만양로3길1-44-,노량진1동,326,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-45-,노량진1동,327,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-46-,노량진1동,326,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-47-,노량진1동,327,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-48-,노량진1동,326,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-49-,노량진1동,329-3,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-50-,노량진1동,327,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-51-,노량진1동,327,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-52-,노량진1동,329-3,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-53-,노량진1동,327,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-54-,상도1동,15-39,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-55-,노량진1동,329-3,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-57-,노량진1동,328,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-58-,상도2동,산 15-39,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-59-,상도1동,15-26,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로3길1-2,노량진1동,329,2016-08-30,강판주,LED일체형,4,2024-07-29
만양로3길1-17,노량진1동,329,2016-08-30,강판주,LED일체형,2,2024-07-29
만양로3길1-56,상도2동,25-40,2016-08-30,강판주,LED일체형,4,2024-07-29
만양로4길1-1,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-2,노량진1동,414,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-3,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-4,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-5,노량진1동,324-2,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-6,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-7,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-8,노량진1동,324-2,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-9,노량진1동,324-2,2016-08-30,신호통합주,LED일체형,3,2024-07-29
만양로4길1-10,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-11,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-12,노량진1동,324-1,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-13,노량진1동,324-1,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-14,노량진1동,324-1,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-15,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-16,노량진1동,324,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-17,상도1동,414-1,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-18,노량진1동,45597,2016-08-30,강판주,LED일체형,3,2024-07-29
만양로4길1-19,상도1동,508-1,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-1-,노량진1동,163-5,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-2-,노량진1동,190-43,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-3-,노량진1동,190-8,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-4-,노량진1동,148-9,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-6-,노량진1동,148-9,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-7-,노량진1동,148-9,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-8-,노량진1동,148-9,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-9-,노량진1동,492,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-12-,노량진1동,492,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로1-15,노량진1동,481-1,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로1-15 (삭제),노량진1동,481,2024-03-28,,,0,2024-07-29
매봉로1-16,노량진1동,481-1,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로1-17,노량진1동,481-1,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로1=5-,노량진1동,148-9,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로1=10-,노량진1동,492,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로1=11-,노량진1동,492,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로1=13-,노량진1동,148-9,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로1=14-,노량진1동,487-3,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로2-1-,노량진1동,457-283,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로2-2-,노량진1동,488,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로2-3-,노량진1동,488-1,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로2-4-,노량진1동,457-286,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로2-6,상도1동,508-1,2016-08-30,강판주,LED일체형,1,2024-07-29
매봉로2-7,노량진1동,481-3,2024-02-28,강판주,LED일체형,2,2024-07-29
매봉로2-8,노량진1동,481-2,2024-02-28,강판주,LED일체형,2,2024-07-29
매봉로2-9,노량진1동,481-2,2020-12-31,강판주,LED일체형,2,2024-07-29
매봉로2-10,노량진1동,481-2,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로2-10 (삭제),노량진1동,481-2,2024-03-28,,,0,2024-07-29
매봉로2-11,노량진1동,481,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로2-12,노량진1동,481-2,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로2-13,노량진1동,148-9,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로2-14,노량진1동,148-9,2020-12-31,전용주(강관),LED일체형,2,2024-07-29
매봉로2-15,상도1동,481-4,2018-12-11,기타,LED일체형,1,2024-07-29
매봉로2-16,상도1동,481-4,2018-12-11,기타,LED일체형,1,2024-07-29
매봉로2-17,상도1동,481-4,2018-12-11,기타,LED일체형,1,2024-07-29
매봉로2-18,상도1동,481-4,2018-12-11,기타,LED일체형,1,2024-07-29
매봉로2=5-,상도1동,508-1,2016-08-30,강판주,LED일체형,4,2024-07-29
매봉로3-1,상도1동,508-1,2016-08-30,강판주,LED일체형,1,2024-07-29
매봉로3-2-,상도1동,508-1,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로3-3-,상도1동,508-1,2016-08-30,강판주,LED일체형,3,2024-07-29
매봉로3-4-,상도1동,528-1,2016-08-30,신호통합주,LED일체형,3,2024-07-29
매봉로4-1,상도1동,528-1,2016-08-30,스텐주,LED소켓형,2,2024-07-29
매봉로4-2,상도1동,528-1,2016-08-30,스텐주,LED소켓형,2,2024-07-29
매봉로4-3,상도1동,528-1,2016-08-30,스텐주,LED소켓형,2,2024-07-29
매봉로4-4,상도1동,528-1,2018-11-08,스텐주,LED소켓형,2,2024-07-29
매봉로4-5,상도1동,528-1,2016-08-30,스텐주,LED소켓형,2,2024-07-29
매봉로4-6-,상도1동,528-1,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로4-7,상도1동,528-1,2016-08-30,스텐주,LED일체형,1,2024-07-29
매봉로4-8-,상도1동,528-1,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-1-,노량진1동,486-1,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-2-,노량진1동,486-1,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-3-,노량진1동,486-1,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-4-,노량진1동,45456,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-5-,노량진1동,126-453,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-6-,노량진1동,481,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-7-,노량진1동,481-4,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길1-8-,노량진1동,481,2016-08-30,스텐주,LED일체형,3,2024-07-29
매봉로6길2-1,노량진1동,484,2016-09-28,전용주,LED일체형,2,2024-07-29
매봉로6길2-2,노량진1동,484,2016-08-30,전용주,LED일체형,2,2024-07-29
매봉로6길2-3,노량진1동,484,2016-08-30,전용주,LED일체형,2,2024-07-29
매봉로6길2-4,노량진1동,485-2,2020-11-02,전용주,LED일체형,2,2024-07-29
매봉로6길2-5,노량진1동,485-2,2016-08-30,전용주,LED일체형,2,2024-07-29
매봉로6길2-6,노량진1동,486-1,2016-08-30,전용주,LED일체형,2,2024-07-29
매봉로6길2-7,노량진1동,486-1,2016-08-30,전용주,LED일체형,2,2024-07-29
보라매로5길1-2-,신대방2동,,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-3-,신대방1동,,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-4-,신대방1동,,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-5-,신대방2동,425-20,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-6-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-7-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-8-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-9-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-10-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1-11-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길1=1-,신대방2동,395-61,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길1=12-,신대방2동,395-61,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길2-2,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-3,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-4,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-5,신대방2동,395-61,2016-08-18,기타,LED일체형,3,2024-07-29
보라매로5길2-6,신대방2동,395-61,2016-08-18,기타,LED일체형,3,2024-07-29
보라매로5길2-7,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-8,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-9,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-10,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-11,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-12,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-13,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길2-14,신대방2동,395-61,2021-08-30,신호통합주,LED일체형,1,2024-07-29
보라매로5길2=1,신대방2동,395-61,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길3-1-,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-2,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-3,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-4,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-5,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-6,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-7,신대방2동,706,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길3-9,신대방2동,395-61,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길3-10,신대방2동,706,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길3=8,신대방2동,395-61,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길3=11,신대방2동,395-61,2016-08-18,스텐주물주,LED일체형,4,2024-07-29
보라매로5길4-2,신대방2동,395-61,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-3,신대방2동,395-70,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-4,신대방2동,395-70,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-5,신대방2동,395-61,2016-08-18,강판주,LED일체형,1,2024-07-29
보라매로5길4-6,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-7,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-8,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-10,신대방2동,395-62,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-11,신대방2동,395-62,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-12,신대방2동,395-65,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-13,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-14,신대방2동,395-65,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-15,신대방2동,395-65,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-16,신대방2동,395-61,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-17,신대방2동,395-70,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-18,신대방2동,395-70,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-19,신대방2동,395-73,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-20,신대방2동,395-61,2016-08-18,강판주,LED일체형,1,2024-07-29
보라매로5길4-21,신대방2동,395-61,2016-08-18,스텐주물주,LED일체형,3,2024-07-29
보라매로5길4-23,신대방2동,395-61,2016-08-18,강판주,LED일체형,1,2024-07-29
보라매로5길4-24,신대방2동,395-61,2016-08-18,강판주,LED일체형,1,2024-07-29
보라매로5길4-25,신대방2동,395-61,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-26,신대방2동,395-66,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-27,신대방2동,395-66,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-28,신대방2동,395-67,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-29,신대방2동,395-67,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로5길4-30,신대방2동,729-29,2021-08-30,신호통합주,LED일체형,1,2024-07-29
보라매로5길4-31,신대방2동,395-61,2021-08-30,강판주,LED일체형,3,2024-07-29
보라매로5길4-32,신대방2동,395-68,2021-08-30,강판주,LED일체형,3,2024-07-29
보라매로5길4-33,신대방2동,395-61,2021-08-30,강판주,LED일체형,3,2024-07-29
보라매로5길4-34,신대방2동,395-61,2021-08-30,강판주,LED일체형,3,2024-07-29
보라매로5길4=1,신대방2동,395-61,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길4=9,신대방2동,395-62,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로5길4=22,신대방2동,395-62,2016-08-18,스텐주물주,LED일체형,4,2024-07-29
보라매로 1-1,대방동,405-11,2016-08-17,신호통합주,LED일체형,3,2024-07-29
보라매로 1-2,대방동,407-29,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 1-3,신대방2동,345-6,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 1-4,신대방2동,351-5,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 1-6,신대방2동,721,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-7,신대방2동,345-3,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-8,신대방2동,344-16,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-9,신대방2동,344-4,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-11,신대방2동,344-23,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-12,신대방2동,344-35,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-13,신대방2동,344-216,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1-14,신대방2동,344-216,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 1=5(통합주),신대방2동,345-6,2016-08-18,강판주,LED일체형,2,2024-07-29
보라매로 1=10,신대방2동,705-9,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로 1=15,신대방2동,344-95,2022-09-16,,LED일체형,4,2024-07-29
보라매로 1=16,신대방2동,343-7,2022-09-16,,LED일체형,4,2024-07-29
보라매로 2-2,신대방2동,342-57,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-3,신대방2동,342-57,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-5,신대방2동,342-57,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-7,신대방2동,345-6,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-8,신대방2동,345-6,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-9,신대방2동,345-6,2016-08-18,강판주,LED일체형,3,2024-07-29
보라매로 2-10,신대방2동,345-6,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 2-11,신대방2동,345-6,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 2-12,신대방2동,355-26,2016-08-17,강판주,LED일체형,3,2024-07-29
보라매로 2-13,대방동,406-10,2022-09-26,,LED일체형,3,2024-07-29
보라매로 2-14,대방동,406-13,2016-08-17,신호통합주,LED일체형,3,2024-07-29
보라매로 2=1,신대방2동,342-57,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로 2=4,신대방2동,343-8,2016-08-18,강판주,LED일체형,4,2024-07-29
보라매로 2=6,신대방2동,342-57,2016-08-18,강판주,LED일체형,4,2024-07-29
사당로1-1,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-2,사당2동,147-110,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-3,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-4,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-5,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-6,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-7,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-8,사당2동,144-4,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-9,사당2동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-10,사당3동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-11,사당3동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-12,사당3동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-13,사당3동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-14,사당3동,152-9,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로1-15,사당3동,323-24,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로2-1,사당3동,323-6,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로2-2,사당3동,324-25,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로2-3,사당3동,324-25,2022-05-27,강판주,LED일체형,3,2024-07-29
사당로2-4,사당3동,323-11,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로2-5,사당3동,323-20,2016-08-31,강판주,LED일체형,3,2024-07-29
사당로2-6,사당3동,323-20,2016-08-31,강판주,LED일체형,3,2024-07-29
