name,lat,lng,address
IP단란주점,37.4793203196746,126.95274156952,서울 관악구 관악로 158
삼바,37.48728353999,126.92796621389,서울 관악구 신림동길 7
쎈스노래노래,37.464806603798934,126.91907145971402,서울 관악구 난곡로 103
싱싱노래바,37.4740094959947,126.933463031501,서울 관악구 신림로 167
엔젤노래짱,37.4761826663327,126.964662798491,서울 관악구 남부순환로246길 5
준코뮤직타운 사당2호점,37.4759907620485,126.98013877289,서울 관악구 남현1길 47
준코뮤직타운 사당1호점,37.4746718889662,126.981400776028,서울 관악구 과천대로 941
JMC 남현1호,37.4755925756108,126.980498386269,서울 관악구 남현1길 58
7080라이브동창생생음악,37.4753385222188,126.980689510921,서울 관악구 남현3길 74
JMC술래방,37.4757475671579,126.980606876938,서울 관악구 남현1길 58
코코,37.4753394879479,126.981089716349,서울 관악구 남현1길 68-10
123노래팡,37.4759238041139,126.978519866912,서울 관악구 남현1길 19
하이노래밤,37.4749809326932,126.981383741657,서울 관악구 과천대로 945
여인천하,37.4755007692585,126.981093067293,서울 관악구 남현1길 68-6
봉쥬르,37.47554762104537,126.98108853337978,서울 관악구 남현1길 68-6
룸쌕쌕클럽,37.4751692026953,126.981124805434,서울 관악구 남현1길 68-14
봉봉,37.4747871881903,126.981210820736,서울 관악구 남현1길 68-22
파파,37.47534038914609,126.98109084664607,서울 관악구 남현1길 68-10
자이언트라이브생음악7080,37.4755080075752,126.981282994014,서울 관악구 과천대로 951
두꺼비,37.47556293694534,126.98108061582539,서울 관악구 남현1길 68-6
노래하는탑스타,37.47516920269535,126.98112480543354,서울 관악구 남현1길 68-14
호박,37.47554852169328,126.9810862720975,서울 관악구 남현1길 68-6
개구리 노래방,37.4757278539677,126.981282939187,서울 관악구 과천대로 953
빙고,37.4756954168988,126.981278425157,서울 관악구 과천대로 953
백악관스텐드바아카데미,37.4801583037445,126.903829159605,서울 관악구 남부순환로 1377
열창노래밤,37.4803150474648,126.904903027837,서울 관악구 남부순환로 1387
느낌,37.47781266228062,126.93509106008604,서울 관악구 신림로 238
코코노래바,37.4790745626992,126.953291186503,서울 관악구 관악로14길 14
바이킹,37.479296261500004,126.95576363580413,서울 관악구 봉천로 522
7080가요무대,37.4802509313428,126.954708224696,서울 관악구 남부순환로 1844
소개팅,37.4800856792997,126.953759754451,서울 관악구 남부순환로226길 12
탑노래빠,37.479691539211025,126.95749546667591,서울 관악구 남부순환로 1869
라이브아바,37.4779291549619,126.962808982593,서울 관악구 솔밭로 4
레이스노래빠,37.48227371634249,126.90145325899897,서울 관악구 시흥대로 552-1
OK노래방,37.4816889256609,126.901409932857,서울 관악구 조원로2길 48
레이스여성전용노래클럽,37.4821429938265,126.901361849931,서울 관악구 시흥대로 552
쇼킹노래바,37.48292838259,126.90209573243673,서울 관악구 시흥대로 560
벤틀리,37.48178956635493,126.90108418170196,서울 관악구 시흥대로 548
레이스가라오케,37.482311543560286,126.90143511925285,서울 관악구 시흥대로 552-1
구디별밤,37.4843087748255,126.90324720362,서울 관악구 시흥대로 578
장원7080,37.4819140253696,126.905637037068,서울 관악구 조원중앙로 25
파라다이스,37.4812377440483,126.904982132006,서울 관악구 조원중앙로 15
블루문,37.4806646530745,126.90492067445,서울 관악구 조원중앙로2길 2
쿨,37.4835377702881,126.902465789696,서울 관악구 시흥대로 570
샤넬노래연습장,37.4807669958647,126.904459257574,서울 관악구 조원중앙로 9
수,37.4835206026069,126.90240701835,서울 관악구 시흥대로 570
구디,37.483242504113,126.906129457415,서울 관악구 조원로 34
코리아 싸파리,37.4810209278545,126.908827610232,서울 관악구 남부순환로 1423
레트로퐁,37.4832388857091,126.906111371652,서울 관악구 조원로 34
골든벨노래바,37.4814203633018,126.9140200431883,서울 관악구 남부순환로 1472
123노래노래,37.4821007984407,126.914258956229,서울 관악구 남부순환로 1471
원투쓰리노래바,37.4820845926127,126.914275934134,서울 관악구 남부순환로 1471
모이자,37.4822112003475,126.914921377919,서울 관악구 남부순환로 1479
유니라이브,37.4822862557261,126.914051839229,서울 관악구 난곡로65길 3
써니노래바,37.48115920823753,126.91420915461057,서울 관악구 난곡로63길 6
울랄라노래빵,37.4830539061188,126.914039653499,서울 관악구 난곡로 325
유정노래광장,37.4824916838673,126.914049342655,서울 관악구 난곡로65길 2
황제노래빠,37.48242473024771,126.91490869886354,서울 관악구 난곡로66길 8
오페라노래빠,37.4821952851195,126.915343120017,서울 관악구 남부순환로 1483
콘서트7080라이브,37.4826578563091,126.914582811765,서울 관악구 난곡로 320
자이노래빠,37.4825141673253,126.915238742067,서울 관악구 난곡로66길 14
오페라하우스,37.4822727491153,126.915311375016,서울 관악구 남부순환로 1483
S노래빠,37.4826039166969,126.914750206948,서울 관악구 난곡로66길 7
오렌지,37.4822979611247,126.91528873398,서울 관악구 남부순환로 1483
준코뮤직타운 신림2호점,37.483290761384,126.928773935271,서울 관악구 신림로59길 14
락휴노래타운,37.4832979694478,126.928773928428,서울 관악구 신림로59길 14
썸노래타운,37.483360391804005,126.92919446916389,서울 관악구 신림로59길 12
논다노래타운 신림점,37.48369517741662,126.92854742132474,서울 관악구 남부순환로 1600
오빠가격이싸요노래빠,37.4834484226891,126.927270025811,서울 관악구 관천로 42
아쿠아룸노래빠,37.4835005131824,126.928470722693,서울 관악구 남부순환로176길 9
볼트마이크,37.48367586819351,126.92790862252535,서울 관악구 남부순환로 1594-4
소풍,37.4837325343101,126.927749146324,서울 관악구 남부순환로 1594
퍼스트,37.483449213189175,126.92856574590253,서울 관악구 남부순환로176길 11
딸기노래빠,37.4836275873394,126.927049375555,서울 관악구 남부순환로 1588
럭키노래빠,37.4829678631795,126.928216836653,서울 관악구 신림로59길 28
동물원,37.4813342892663,126.92963958199,서울 관악구 신원로 40-19
망고노래빠,37.4836609420808,126.927077609366,서울 관악구 남부순환로 1588
아라아라,37.4831612744572,126.929203702203,서울 관악구 신림로59길 10
체크인(CHECK-lN),37.4825946803879,126.929438277962,서울 관악구 신림로59길 15-16
VOLT MIC,37.4836686608201,126.9279097601,서울 관악구 남부순환로 1594-4
물고기,37.482673192832,126.929647371564,서울 관악구 신림로 317
신림노래빠,37.4837651809712,126.928093963513,서울 관악구 남부순환로 1596
오케이노래빠,37.4843773638783,126.927272517319,서울 관악구 남부순환로 1591-6
K9노래,37.4842452112369,126.927754305925,서울 관악구 남부순환로 1595
조이,37.4833087760905,126.928764873015,서울 관악구 신림로59길 14
원투,37.4842304543458,126.927199166937,서울 관악구 남부순환로 1589
텐프로,37.483165414337,126.930103689494,서울 관악구 신림로 322-1
썸노래빠,37.4839287757611,126.928940666353,서울 관악구 남부순환로 1604
불륨,37.4842385788397,126.931753451,서울 관악구 남부순환로 1630
주주노래바,37.4831487995257,126.939157886003,서울 관악구 남부순환로 1702
서연7080,37.4817006520702,126.946114635774,서울 관악구 남부순환로 1766
백궁룸비지니스,37.4819903635912,126.943305956249,서울 관악구 남부순환로 1740
전주실비집,37.4812307854756,126.945156213247,서울 관악구 청룡2길 19
푸마네노래하는호프,37.4823108446848,126.944619505479,서울 관악구 남부순환로 1749
서울대홀릭데이트카페,37.4818636959014,126.950130490496,서울 관악구 남부순환로 1799
준코뮤직타운 서울대입구점,37.4807765219589,126.953172544053,서울 관악구 남부순환로 1830
음악여행 7080라이브,37.4821031872128,126.954141793513,서울 관악구 봉천로53길 5
카톡노래바,37.482365755905,126.952806358676,서울 관악구 봉천로 473
텔미노래바,37.480671934016,126.952993973768,서울 관악구 관악로 174
풀잎노래빠,37.4817361865174,126.953400330563,서울 관악구 봉천로 482
조이8090라이브,37.4812730854511,126.9534447121,서울 관악구 남부순환로 1827
더킹,37.4817448877041,126.952623588583,서울 관악구 관악로 185
시애틀라이브,37.4825740374984,126.950958772674,서울 관악구 봉천로 457-1
유성노래빠주점,37.482362547308,126.953806968451,서울 관악구 관악로 196
별밤가요주점,37.483450039287575,126.95374185208487,서울 관악구 중앙1가길 1
7080,37.483285514103095,126.9546690817169,서울 관악구 관악로 208
도레미노래뱅크,37.48315479528247,126.95448034344822,서울 관악구 관악로 206
룸노래빠,37.4831449277029,126.954593413637,서울 관악구 관악로 208-4
중앙룸노래장,37.4839706193498,126.955560754177,서울 관악구 관악로24길 14
붕붕노래바,37.4867113786702,126.91319083338114,서울 관악구 신사로 94
황궁,37.4845546020543,126.926850608171,서울 관악구 신림동7길 52
시크릿,37.48635152626765,126.92884000162191,서울 관악구 신림동1길 25-6
상한가노래빠,37.4873208663358,126.928600503455,서울 관악구 신림로 371
뉴코노래타운 신림점,37.4851502610337,126.929977466474,서울 관악구 신림로 344
퍼펙트룸가라오케,37.486656131448086,126.92894712870618,서울 관악구 신림로 363-1
줄넘기,37.4857669836275,126.929192197975,서울 관악구 신림로 353
당근노래바,37.4865561209706,126.928949484812,서울 관악구 신림로 363
스카이,37.4845339445542,126.928429033604,서울 관악구 남부순환로 1599-4
골든벨,37.48576698294989,126.92919106729414,서울 관악구 신림로 353
P9,37.485515602498374,126.92919243522519,서울 관악구 신림로 349
샤인노래빠,37.4843709749986,126.928615748024,서울 관악구 남부순환로 1601-1
더데이룸노래클럽,37.4864633593357,126.92901967556,서울 관악구 신림로 361
플러팅 신림본점,37.48644328396685,126.93010628918545,서울 관악구 봉천로12길 49
야구장노래클럽,37.4863372468047,126.929067283857,서울 관악구 신림로 359
99,37.48657197324509,126.92984497908438,서울 관악구 신림로68길 9
샵인,37.48577600318212,126.92920801900439,서울 관악구 신림로 353
앵두노래빠,37.48660442629663,126.92987321608774,서울 관악구 신림로68길 9
블루문,37.4870140146088,126.92925207881,서울 관악구 신림로 366
백억불노래빠,37.484859913406,126.931131018558,서울 관악구 남부순환로181길 6
백악관,37.4875148730293,126.929082000313,서울 관악구 신림동 1425-25
뉴스타노래방,37.4861522227567,126.928540558551,서울 관악구 신림로67길 14
봉봉노래방,37.4863512760564,126.929928856538,서울 관악구 봉천로12길 54
용궁노래빠,37.48648931770955,126.9287358472347,서울 관악구 신림동1길 25-3
홀인원 노래클럽,37.4870993052138,126.92874431341,서울 관악구 신림로 367
일번지,37.4845260318439,126.930264106728,서울 관악구 남부순환로 1617
뉴올리브,37.4868389733493,126.928842931362,서울 관악구 신림로 365
별빛노래룸,37.4870993052065,126.92874431341,서울 관악구 신림로 367
초콜렛바,37.4847627637474,126.931404728975,서울 관악구 남부순환로 1627
초이스,37.48677772186433,126.92887125687427,서울 관악구 신림로 365
초코파이,37.4854183121784,126.930743814737,서울 관악구 신림로66길 20
이브,37.4846902501688,126.930663078905,서울 관악구 남부순환로 1619-1
비전21노래바,37.485984576027555,126.92994615930101,서울 관악구 신림로 354
꼬망노래주점,37.4850579911106,126.937347264551,서울 관악구 봉천로 334
도깨비노래클럽,37.4853072015699,126.930256596598,서울 관악구 신림로66길 10
허니노래빠,37.4861105612674,126.929683722372,서울 관악구 신림로 356
몽고메리,37.4844079110765,126.936498681015,서울 관악구 남부순환로 1674
예랑노래,37.4849831313443,126.932309063189,서울 관악구 남부순환로185길 5
깡노래빠,37.48611056126738,126.92968372237219,서울 관악구 신림로 356
주색노래빠,37.4845565612016,126.930086564234,서울 관악구 남부순환로 1615
여자친구노래빠,37.48523611901659,126.92890776929579,서울 관악구 신림로65길 10
W노래클럽,37.4861105612674,126.929683722372,서울 관악구 신림로 356
에이스룸클럽,37.4856471807734,126.929244322305,서울 관악구 신림로 351
샴푸,37.484511756387526,126.92898760203916,서울 관악구 신림로63길 9
킹노래,37.4861841135288,126.929130747151,서울 관악구 신림로 357
잠자리노래빠,37.48608803136732,126.92967582868465,서울 관악구 신림로 356
벤틀리룸노래빠,37.4860372872602,126.929194204233,서울 관악구 신림로 355
7080써니,37.4869588218574,126.947865704818,서울 관악구 은천로 113
이브,37.4843454353902,126.955551486894,서울 관악구 관악로 222
더캐주얼,37.4896509640654,126.923007907495,서울 관악구 봉천로 194
우주노래빠,37.4873018041881,126.928367596463,서울 관악구 신림동길 3
별나라,37.4872226906846,126.928657132059,서울 관악구 신림로 369
보물섬,37.4885954775075,126.928081418719,서울 관악구 신림로 387
퍼펙트노래바,37.48666061199147,126.92890641944763,서울 관악구 신림로 363-1
선물노래빠,37.486651616209656,126.92893017256141,서울 관악구 신림로 363-1
호프가요주점,37.487316225104415,126.92837549762646,서울 관악구 신림동길 3
파라다이스,37.4861056267356,126.928965741061,서울 관악구 신림로67길 5
클럽노래빠,37.4876203587049,126.92919497153,서울 관악구 신림로70길 6
파티파티,37.4864444612678,126.929058136955,서울 관악구 신림로 361
램프노래클럽,37.4890863539704,126.927798265254,서울 관악구 신림로 391
랑데부노래주점,37.4866780834756,126.929494364364,서울 관악구 신림로 362
딱따구리,37.485766986338,126.929196720698,서울 관악구 신림로 353
카톡노래클럽,37.4885780018269,126.928981491596,서울 관악구 봉천로 250
다나,37.4882746976255,126.928194798167,서울 관악구 신림로 383
코코노래빠,37.4857175216113,126.929348278589,서울 관악구 신림로 351
