name,lat,lng,address
라이브캐슬,37.4907403828954,126.923162833694,서울 동작구 보라매로5길 51
칼포니,37.4913320543184,126.924107547363,서울 동작구 보라매로5가길 16
홈노래방,37.49162782483512,126.9870504222652,서울 서초구 방배중앙로 140
퀸노래바,37.4936910639059,126.986448479877,서울 서초구 방배중앙로 164
보물섬,37.4971662256236,126.916328158822,서울 영등포구 여의대방로 87
오빠,37.49752741235058,126.92006298187319,서울 동작구 여의대방로22길 4
개구리노래방,37.4957801911346,126.953391605731,서울 동작구 상도로62길 35
빌게이츠,37.495873988371,126.95362676089,서울 동작구 상도로 368
SBS,37.4951109148888,126.985310615916,서울 서초구 방배중앙로27길 9
SBS노래빵,37.4951109151772,126.985312877561,서울 서초구 방배중앙로27길 9
봄가을라이브,37.4949776719977,126.986190420339,서울 서초구 방배중앙로 178
필굿,37.49556325966604,126.98563055201039,서울 서초구 방배중앙로 185
우주노래방,37.499251755687645,126.92113209152465,서울 동작구 여의대방로24가길 22
은하수노래연습장,37.4986569037416,126.91691455092,서울 영등포구 대방천로 233
2020라이브빠,37.49972295640165,126.91975643156897,서울 영등포구 신풍로 122
친한친구노래장,37.4990648396225,126.927528555869,서울 동작구 여의대방로24길 134
굿타임노래주점,37.4995595730244,126.929147511272,서울 동작구 상도로 78
야간열차,37.4996181126385,126.930622136824,서울 동작구 상도로 88
여우미스룸,37.500757772731454,126.93197817129895,서울 동작구 상도로 105
승리,37.50422973737528,126.92237995872323,서울 동작구 여의대방로36길 1
파티파티,37.5029370002948,126.936278291264,서울 동작구 상도로 152
라이브별밤,37.50475176080293,126.93822993011328,서울 동작구 상도로15길 134
파파코노래방,37.5047618305498,126.938534152173,서울 동작구 상도로 179
샤방샤방,37.5050267317414,126.942112330002,서울 동작구 상도로 210
일번지단란주점,37.50497302654187,126.94151275879653,서울 동작구 상도로 206
울리불리7080,37.502950966152696,126.94826285662944,서울 동작구 상도로 275
필노래바,37.5074188193489,126.96476570459,서울 동작구 서달로14길 34
청개구리,37.51167395154557,126.91723831444347,서울 영등포구 도신로60길 1
쏘렌토,37.513528160432,126.922465342382,서울 영등포구 영등포로 397-1
린스,37.513040703555674,126.92244435588673,서울 영등포구 영등포로 400
콘서트,37.5138687947262,126.92118684114956,서울 영등포구 영등포로 385
뉴타임,37.5131566372877,126.921995191435,서울 영등포구 영등포로 396-1
올레,37.51383039620025,126.91903212730229,서울 영등포구 영등포로 370
7080쎄시봉,37.5130683370922,126.935428145437,서울 동작구 노량진로 86-1
던힐노래방,37.5130846650412,126.935629466001,서울 동작구 노량진로 90
가원노래바,37.5125744154673,126.936776825148,서울 동작구 노량진로8길 26
센스,37.51262697923188,126.93735024167965,서울 동작구 노량진로8길 35
시바스노래방,37.512644942263385,126.93724277341886,서울 동작구 노량진로8길 33
궁전,37.51243452482176,126.93803357705643,서울 동작구 노량진로8길 49
별밤,37.51431652686158,126.93939387993753,서울 동작구 노들로2길 7
고래노래방,37.51374291899219,126.94004359712233,서울 동작구 노량진로 125
룸가요장,37.5134828059082,126.942411196386,서울 동작구 노량진로 148
